Tm,Pos,Age,G,GS,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec_Tgt,Rec_Rec,Rec_Yds,Rec_Y/R,Rec_TD,Fmb,FmbLost,Scrim_TD,Year,Pass_Y/A,Scrim_Yds,num_games,games_played_pct,games_started_pct,Exp,Touches,Pass_Cmp%,Rec_Catch%,ppg_bin_q4,PPG_half-ppr_pred
BUF,TE,27,13,8,117,270,748,4,4,147,292,0.17258335987940004,2,75,15,239,0.08321870850682181,2,2,1,0,2020,6.266054474214226,278,17,0.07258161025002394,0.190095771748375,1,74,0.4571519729030173,0.5126132480536286,Q3,11.13974429706924
GNB,TE,24,1,12,127,115,806,2,7,39,520,4.660638911787946,2,49,58,329,3.076860004584922,2,0,2,6,2009,3.8758879913539683,349,16,0.1777850993425493,0.8845149873666747,4,340,0.030914714257969832,0.4733610131974654,Q1,17.92151335041349
SEA,RB,29,3,10,142,142,230,1,7,116,496,5.919791521484775,3,85,14,40,10.60968782723845,2,3,2,2,2019,4.729788159893308,355,16,0.20875782608829035,0.7629902693330352,6,56,0.36159501888937595,0.19843933663226232,Q4,14.708530700148524
NWE,RB,27,13,14,122,3,168,9,2,120,22,2.207258812036643,1,113,51,696,6.339011422992414,5,1,1,5,2011,5.651527735666212,48,16,0.8864959683884888,0.24074295352419395,1,46,0.2515463282779834,0.3769938189705373,Q3,8.290766167098136
TAM,WR,31,13,2,132,219,1222,3,0,16,386,6.10355578268993,0,18,54,383,15.429880708145292,3,1,0,5,2018,5.977116459522828,370,16,0.4609203458324508,0.15074416627609355,3,292,0.5121367015076165,0.3328248623150991,Q1,12.59691136035497
NYJ,WR,30,4,12,8,143,1201,4,1,74,104,4.900751643438835,2,23,41,387,12.766259767430135,6,0,2,5,2004,3.4376643439517323,1032,16,0.3202484612222328,0.3162327101862351,3,295,0.5037701233706845,0.27073568282942684,Q1,17.3419087538503
LVR,TE,25,9,3,39,112,1214,1,0,32,636,7.201010400100793,1,61,61,217,7.468602597205749,2,2,1,5,2021,3.672300638363526,1072,16,0.46475792123764315,0.3979505662702747,3,266,0.2413359857814938,0.5674065746467731,Q1,16.86348080436132
CAR,WR,31,10,4,102,26,36,4,1,29,113,7.602787287991739,2,54,21,185,12.512357609873733,1,4,0,8,2012,5.1823288609756535,129,16,0.4326633369068428,0.24578467649892344,5,346,0.40015827969804557,0.46227536028028204,Q2,11.270864234526867
2TM,WR,31,14,11,141,245,598,3,4,74,424,0.3281823834899622,1,65,63,520,16.283340666541378,3,2,2,4,2007,1.9007180686914602,539,17,0.34512031373876595,0.9988915487544232,7,97,0.1462237268378172,0.8891976853146673,Q2,12.793530877499167
2TM,QB,26,10,16,1,109,362,6,6,46,221,3.448267647959298,1,6,52,206,7.695585949334551,2,3,1,6,2006,6.167424371906149,448,17,0.19178085851121748,0.22965233623958103,5,298,0.37297153402143823,0.9413439770471609,Q4,11.083331868584503
DET,QB,25,7,10,85,188,1425,2,4,127,434,4.239155353731191,3,46,57,57,10.726288231448274,5,4,1,6,2007,0.15003242570487713,575,16,0.6774207456005131,0.830634826982857,2,127,0.05222098651155172,0.21947342922809088,Q3,13.466665511298567
BUF,RB,30,7,1,111,41,1576,9,4,144,279,1.1372600573593068,2,66,47,678,15.336131407189926,5,2,1,2,2009,1.413014691002538,652,16,0.1905666276059269,0.15911774709047277,1,193,0.2792782862564691,0.10010542876721051,Q4,18.343518030051122
WAS,RB,24,7,10,5,264,452,9,1,128,514,2.6062151858120535,2,66,60,333,4.151359736840239,3,4,3,2,2017,5.775578595095176,24,16,0.7894604243806322,0.9802446252759475,8,160,0.11742146963662606,0.7853375514877494,Q1,12.531310948560677
SEA,TE,24,11,1,66,49,1223,1,6,42,156,7.654267720112578,3,74,71,336,14.800144079962205,6,3,1,3,2022,2.4558712638186595,990,17,0.2515825124504253,0.22552345828308484,5,2,0.5676639454810429,0.994861403638609,Q3,15.505940413090098
CAR,WR,22,14,14,147,55,237,1,4,44,613,0.1257860366541537,4,81,30,381,1.628405423067762,3,3,1,2,2016,1.0814438427180477,1145,17,0.7481606004374797,0.42168855478359224,1,207,0.2858948761811287,0.8636000698541542,Q3,10.020336958510734
CIN,RB,31,8,11,110,236,504,1,6,41,338,3.5069364693139766,2,72,58,720,10.825154459901045,2,0,1,3,2013,1.3479340744839388,768,16,0.8177369740895003,0.5585640667679065,3,269,0.37963334949494526,0.023697402118734723,Q3,10.419622125175724
TEN,WR,29,5,3,39,251,254,6,7,21,511,6.53057331831602,3,89,53,284,13.068652715764594,3,0,1,3,2011,3.8308242095086698,777,16,0.17999313416354756,0.12028571515609332,8,63,0.23158268804229157,0.251263550706466,Q3,18.336733230064446
TAM,QB,30,5,1,140,58,519,1,2,150,575,2.510234786074485,5,71,32,670,10.260198975338229,0,5,1,5,2019,6.107458480819799,621,16,0.14382415777000382,0.8168200674791013,8,335,0.18554603449717325,0.04334227704126392,Q4,20.444273417436438
NOR,QB,31,12,3,57,129,1236,9,1,64,676,3.7184383963524383,3,61,66,831,8.27242798811018,5,4,0,2,2020,0.5099335051029431,393,17,0.9527244724878061,0.27468553268082985,9,191,0.13039698717165243,0.8207793770411665,Q4,12.765833604676882
JAX,RB,27,13,16,140,202,1667,8,2,36,151,7.579854529856845,5,69,28,584,10.30595507118365,1,5,0,6,2007,0.22000112325843488,175,17,0.4966063813305444,0.5492699016016638,6,64,0.5859719800270475,0.5814069762923163,Q3,10.704479095437893
PIT,WR,28,3,7,49,242,371,8,3,135,194,3.680295482686705,4,11,40,382,2.5318647626241217,2,5,1,4,2022,3.3574297921901244,687,16,0.6533457765371766,0.5496338106932469,4,233,0.5137396058800743,0.5137185411670538,Q4,15.956528444536069
MIA,RB,24,2,13,97,104,993,5,7,63,169,1.0146401691353677,0,31,8,661,3.5987243733611303,3,0,3,6,2010,6.9014445893696275,53,17,0.08430666261415727,0.602640652325785,4,69,0.08563409382112085,0.5544498819965276,Q4,14.52378140965414
PHI,WR,23,10,10,65,142,1285,10,3,6,178,0.40084156041453073,2,60,16,405,4.505683290471175,0,4,0,1,2019,2.0138005037908773,970,16,0.32379079427156865,0.05548598652431469,2,23,0.4798481086738034,0.25245125869659113,Q4,12.890116889051852
DAL,QB,29,3,9,45,204,1745,0,5,26,394,7.3269784364096004,3,99,60,366,9.97929208342691,0,2,1,4,2022,6.922975792100043,495,17,0.5363103011494246,0.16861876183156788,7,247,0.2689493924189776,0.6016383691388628,Q2,14.97977173791674
2TM,WR,27,13,2,146,201,1117,4,4,102,672,2.0600229528817593,5,77,28,464,7.37706974321695,4,4,3,0,2016,6.406989212380182,488,17,0.8933296688025661,0.1611922429233642,6,40,0.009893946214061231,0.030666978464029993,Q4,10.939185829669565
JAX,WR,28,6,15,31,215,467,3,1,124,670,3.90649527587527,2,10,28,281,4.081264897740879,0,0,3,5,2005,2.0435753600519186,385,16,0.3169744539666028,0.30205125941585187,2,38,0.33953075278089595,0.6460117239708396,Q4,11.855739076792045
2TM,TE,30,3,5,14,157,1146,9,2,34,356,0.7029386871972567,0,67,17,92,14.737565487225734,3,1,2,3,2014,5.8964609961325625,1140,16,0.7892418623675496,0.14491415685833986,9,266,0.08356831317093955,0.7344338301788308,Q3,14.784538733889711
CHI,RB,29,15,9,56,29,587,6,5,146,432,3.2833271842671894,3,25,35,367,6.242228539925357,2,4,1,8,2004,4.950363401377338,206,17,0.6833246202425329,0.9219213207742897,4,20,0.1349045495630851,0.6730262637118272,Q4,9.69259107126584
HOU,TE,28,3,11,118,249,1788,8,5,135,582,7.208317774188462,1,83,57,109,7.446026488598395,1,4,1,3,2018,3.694164764160631,178,16,0.1705663448178859,0.5129544505113007,0,292,0.4472784415023716,0.33211751831222025,Q1,18.435790933561087
KAN,WR,28,5,10,133,238,732,2,3,135,631,3.8937007006397724,4,94,64,363,6.83952494154064,1,3,1,5,2007,3.0524688792276153,195,17,0.33753922449249674,0.6235751477026844,3,287,0.16524040392959266,0.8262629151275427,Q2,16.337031356485003
TEN,TE,25,3,15,164,219,1255,10,2,36,138,7.526297426468041,3,67,5,492,3.0373446685443346,5,2,0,2,2016,5.886029238506625,774,16,0.28549753416120605,0.35748817539812083,9,51,0.573130587168274,0.7155439971174821,Q4,17.325380185816204
NYG,WR,22,3,2,49,27,43,5,5,8,357,2.0059761885898473,4,67,41,823,12.213737054561077,6,2,1,5,2021,5.724185105915009,1166,17,0.47736961334995515,0.27624614103391154,9,187,0.42229966573958344,0.12829732292427787,Q1,19.001545156689108
JAX,WR,27,1,8,67,56,733,5,1,138,563,3.910225607705513,4,38,33,32,7.486535051027693,1,5,2,4,2005,5.463316184615358,277,16,0.6581258528571102,0.503177170232213,5,35,0.5348283802973663,0.19514422053831504,Q1,15.223640891717196
OAK,RB,24,2,6,22,204,1603,10,7,49,205,6.66136363652227,3,50,44,549,0.2713952072696543,6,2,1,3,2010,7.2050813730218275,1065,16,0.468831020789225,0.2943229748348336,10,228,0.39532302433740607,0.6371084131782386,Q3,19.268029496948415
NOR,WR,26,4,8,94,6,1118,4,1,98,297,3.473955747791514,3,98,32,405,16.093186322121582,4,2,2,2,2015,3.453744718366345,328,16,0.29175303976731815,0.34364592572976427,9,23,0.5583258924549386,0.28941613355602613,Q4,16.542012043190503
TAM,RB,31,2,2,164,269,813,4,1,121,667,2.1660271451689694,4,82,28,18,13.618308291754952,4,3,1,1,2010,5.824103237126282,762,16,0.7148863452140082,0.45275087427085714,8,340,0.23241988147969275,0.11943294144623695,Q1,16.79139747406237
SFO,WR,25,10,2,115,104,1714,6,3,20,666,6.629934066488583,4,59,34,221,12.079056005126498,4,2,1,1,2005,6.2250836661896445,48,16,0.6104416512920218,0.5057336871843555,9,75,0.3528797226136833,0.1549689931498922,Q4,14.800122849804586
MIA,WR,23,11,4,98,198,1564,1,4,124,613,3.02164338376272,4,42,41,105,14.508567014201747,4,3,2,8,2002,1.5272774645211764,583,17,0.5493567882022112,0.9843140117818387,4,246,0.3315130388658025,0.16561718054040064,Q2,15.015346184907967
WAS,TE,25,7,5,64,244,590,3,4,149,540,4.113105505716814,0,6,36,192,15.138185333675686,5,2,3,3,2010,0.303621669068761,770,16,0.5822683726056047,0.2233225881619405,8,46,0.5807791807630919,0.4777909068183822,Q2,12.614752788717244
DAL,WR,25,6,7,150,109,997,2,3,116,182,7.568084764717379,3,16,34,243,5.63403270446022,3,4,1,0,2015,2.921340133078085,631,16,0.2705318559004596,0.48797616488264717,6,75,0.10597523857111638,0.6073854534294973,Q1,15.624209738803778
ARI,RB,29,9,10,82,88,897,1,7,70,217,1.4452455343579451,1,22,58,355,10.199307149689675,3,5,2,8,2014,6.183642100109635,280,16,0.7004041197741777,0.14951173948933894,7,162,0.3714639390228071,0.17640227485441495,Q3,8.666905102459312
DET,TE,28,14,10,22,167,1158,9,3,139,370,2.3358549345814392,4,42,53,468,10.163400669435209,2,5,1,0,2004,2.0866518889050027,974,16,0.4257817520675953,0.3499992327079726,2,206,0.48480021647607663,0.7124966103632211,Q2,13.468640457832581
HOU,WR,31,14,7,60,160,612,6,3,84,379,0.24078940054125955,3,107,24,1,4.462284471144178,1,3,0,3,2011,5.052441827025549,1141,17,0.4032510809968934,0.7173107187064043,7,360,0.23779531571127477,0.28101260750152846,Q3,12.872594492806392
SFO,TE,29,2,7,11,113,447,4,3,118,342,3.0367422518029086,2,57,57,143,3.705257434005737,4,2,2,6,2009,0.053036438033590615,540,17,0.20287582025009737,0.17446214376057456,10,9,0.5575110283919754,0.31155813839396085,Q1,16.12598864583018
TAM,WR,26,4,3,33,165,1672,4,0,130,431,1.5514215870326615,1,27,61,83,1.9015608084787659,0,4,1,7,2007,2.564902967848982,748,16,0.6220350011410435,0.5813513075500432,3,0,0.23970063964991808,0.22349862107410756,Q3,15.462244555320018
PIT,RB,31,5,9,3,257,1692,4,4,119,276,5.270270749411158,2,12,11,486,11.006551228193148,2,4,1,6,2017,4.442595976299313,930,17,0.6274978848873499,0.4167010235680072,10,126,0.11136883649254564,0.785206135943191,Q1,14.385441543458581
DET,WR,24,5,5,74,129,1545,6,2,46,507,1.4052413054353559,4,38,41,291,13.036614307844141,1,3,1,4,2008,0.9365444924897954,284,17,0.38153185343737034,0.05157954440447299,4,132,0.37531158745759335,0.959813832936877,Q4,16.385976585398517
DET,TE,22,10,1,104,54,1792,9,4,19,226,5.22979883114549,1,92,20,485,12.703302921694467,1,3,1,8,2013,6.471412220254148,1017,17,0.8686094283114382,0.9330752414784446,2,318,0.27025852572005193,0.4924998486780927,Q1,14.917760132407691
MIA,RB,23,7,7,56,104,1364,9,0,38,224,2.041934568467212,0,43,52,196,5.279881978521284,4,4,0,0,2021,1.127933893350231,330,16,0.855116780045714,0.41360314029288636,1,329,0.009761216257336338,0.0420306414319922,Q1,10.853393927176882
KAN,RB,30,2,8,69,108,1400,4,7,80,86,2.752938214439298,4,87,17,21,3.426595503675149,4,3,1,8,2013,6.566588975926894,912,16,0.16473841232727934,0.7839265357511662,8,317,0.044878532354334644,0.26056931642547587,Q3,19.943821597767695
TEN,QB,27,7,4,158,36,1397,3,3,80,128,2.7036700533595805,4,91,48,832,7.572607603353068,3,4,3,7,2015,1.5618264788851897,132,16,0.7140984885717984,0.4163134887318003,6,52,0.12548582291059118,0.15805029111884605,Q4,12.549281507771434
ARI,WR,24,9,9,124,45,880,5,6,93,575,5.5548260637679725,1,13,18,96,9.128470765045373,1,1,2,7,2003,7.1763747005990295,339,17,0.4317200839234584,0.9373603215787846,3,148,0.49437421698620576,0.8427622848520179,Q2,13.46414797153309
ATL,QB,28,3,9,89,188,836,6,3,63,302,3.6154467893221587,1,69,36,112,15.34318481205689,3,2,1,2,2005,4.364876246638313,628,17,0.9997326728714621,0.29047033442889747,6,269,0.5732278222157717,0.08485398743320516,Q1,10.988701389204454
DET,TE,24,14,11,47,93,440,5,0,125,154,2.800066466108294,5,108,67,130,14.604244717865953,2,3,0,1,2003,0.6087735586120262,617,16,0.27345965282936163,0.41223064968769685,3,113,0.35063080087950926,0.9664762406883838,Q3,12.275817811178921
CLE,QB,30,2,10,147,263,1181,7,6,145,514,6.607826072555737,4,45,27,867,15.292622264065967,4,0,2,5,2018,0.47114949392686745,1000,16,0.3254914425760838,0.7588642402592863,4,239,0.06783674836203367,0.588513776624626,Q4,19.947974206944025
BAL,QB,27,15,10,39,67,530,6,5,39,375,4.432617348719321,3,6,62,546,14.1942287264064,3,4,0,4,2019,0.5407600300274835,1171,17,0.4769746511459945,0.3436673152808569,9,85,0.34341955332485297,0.5177397870741632,Q1,12.512718360207582
BAL,QB,26,2,5,53,27,472,3,5,117,14,1.6571888649044828,2,104,70,539,16.102660167392845,3,3,2,4,2005,4.257650796283663,126,17,0.31442045188812173,0.36435707133517936,7,116,0.5498151662995989,0.8473506224191868,Q2,16.068637528634795
LAR,WR,25,14,13,149,207,1073,3,3,108,214,6.97570740561354,1,100,62,872,7.7710287406192045,3,1,2,7,2006,5.843274987315231,319,16,0.7112437809873571,0.9948231734142234,8,310,0.481617037607926,0.02754762129145616,Q1,10.863256433779872
ARI,TE,29,15,9,87,242,751,4,4,83,120,2.6555397942607146,0,59,12,78,0.7925196889664149,6,4,1,5,2008,2.9084518266260733,421,17,0.5133513551701381,0.555614525690352,6,90,0.18706073377689186,0.7771527494070096,Q2,8.049592452053568
NOR,TE,26,16,7,122,76,401,1,6,30,444,0.30209017591423304,4,62,58,861,1.394979500321111,5,4,1,2,2014,3.2106774213104776,563,16,0.26957390767144396,0.6893804536701481,10,347,0.07961255401679271,0.11660404556851656,Q3,12.659089226803571
CAR,RB,23,13,10,97,56,1495,2,4,126,186,3.83315173580201,0,24,2,180,6.515246257647996,3,4,0,3,2015,4.253283791452302,581,16,0.5372256901436525,0.6434622341536098,2,110,0.5787813207646927,0.8407780989404321,Q3,8.292491523991508
DAL,WR,23,13,6,107,51,1576,7,2,153,44,0.9605199219168029,0,93,28,551,4.301812684311946,3,2,0,1,2016,3.8473108303885795,1007,17,0.8957385309672236,0.8279241471565723,3,8,0.5488405204153063,0.5291762192378618,Q3,10.488891198584705
JAX,QB,33,11,8,49,144,307,4,5,115,37,1.8481149387970048,4,56,62,371,2.8369779327518785,0,4,1,2,2021,4.966202075351189,906,17,0.8053709189219245,0.861825099441743,1,92,0.034517688093716505,0.06112940236009179,Q4,9.585912695114017
CAR,WR,32,13,12,40,129,14,2,5,146,393,5.790109263327436,5,4,49,339,15.912726041721653,6,2,3,1,2007,3.40519332768915,22,17,0.5301521166501447,0.5632561324703096,6,62,0.5292962088900991,0.8332450388013244,Q1,10.102784304787114
GNB,RB,30,3,14,53,71,616,6,7,156,15,1.013326553666469,4,77,38,823,3.262322765315513,2,3,1,6,2015,5.152410379949162,535,16,0.33296181544557596,0.29455607496639935,6,182,0.062469192953558884,0.027314117071251642,Q3,13.951615446954449
CIN,RB,25,9,15,26,12,1461,8,3,56,574,6.253817738743776,2,107,28,132,16.015819427832145,2,0,2,6,2013,7.198259169393687,727,16,0.2311435606586198,0.022800247574969457,7,41,0.04066629191299024,0.1383706928936035,Q4,13.339990977336791
CIN,WR,33,9,8,144,132,1537,3,3,101,105,7.261031483014891,2,94,58,881,12.701397488877364,6,3,2,4,2008,2.5283339960294158,541,16,0.8859839473627145,0.6144032510643201,3,225,0.4874796826664676,0.7978245238266289,Q1,13.348650572460143
SEA,TE,31,14,8,47,264,253,8,6,75,410,4.700623778161571,2,31,50,335,10.699908205266231,4,4,0,3,2021,0.08816717216369589,154,16,0.7282815067175278,0.8254688332656196,0,315,0.34463514711112747,0.464871123857891,Q1,9.655853135326053
SDG,WR,30,8,13,92,179,1418,9,4,157,301,5.505283738176927,2,6,33,574,11.285419548886017,0,3,0,5,2003,0.906720039672504,467,16,0.5989030967007423,0.4505398055116595,6,131,0.2663900609579661,0.8813887043548337,Q2,12.303828067260367
